X/C,X/C UR,CP
0.9489,-0.9489,0.0697
0.8993,-0.8993,-0.006
0.85,-0.85,-0.08
0.8003,-0.8003,-0.145
0.7489,-0.7489,-0.2097
0.6996,-0.6996,-0.2643
0.6495,-0.6495,-0.33
0.5994,-0.5994,-0.384
0.5492,-0.5492,-0.4536
0.4997,-0.4997,-0.5256
0.4496,-0.4496,-0.5983
0.3994,-0.3994,-0.6927
0.3499,-0.3499,-0.7777
0.299,-0.299,-0.8917
0.2501,-0.2501,-1.016
0.1994,-0.1994,-1.1895
0.1503,-0.1503,-1.3899
0.1012,-0.1012,-1.7368
0.0763,-0.0763,-1.9975
0.0515,-0.0515,-2.3217
0.0271,-0.0271,-3.0198
0.0135,-0.0135,-3.7293
0,0,-2.3386
0.0122,0.0122,1.0056
0.0251,0.0251,0.9755
0.051,0.051,0.7627
0.0755,0.0755,0.6178
0.1,0.1,0.5138
0.1504,0.1504,0.3592
0.2004,0.2004,0.2676
0.2501,0.2501,0.2085
0.3002,0.3002,0.1668
0.3507,0.3507,0.1339
0.4,0.4,0.1079
0.4503,0.4503,0.0972
0.5,0.5,0.0816
0.5506,0.5506,0.0694
0.5997,0.5997,0.07
0.6502,0.6502,0.0451
0.7003,0.7003,0.0651
0.7497,0.7497,0.0629
0.7998,0.7998,0.0717
0.8503,0.8503,0.069
0.9,0.9,0.052
0.9483,0.9483,0.1018
