X/C,X/C UR,CP
0.9489,-0.9489,0.0666
0.8993,-0.8993,0.0351
0.85,-0.85,0
0.8003,-0.8003,-0.0121
0.7489,-0.7489,-0.0466
0.6996,-0.6996,-0.0642
0.6495,-0.6495,-0.0713
0.5994,-0.5994,-0.091
0.5492,-0.5492,-0.0999
0.4997,-0.4997,-0.1103
0.4496,-0.4496,-0.1194
0.3994,-0.3994,-0.1277
0.3499,-0.3499,-0.1347
0.299,-0.299,-0.1385
0.2501,-0.2501,-0.1283
0.1994,-0.1994,-0.1169
0.1503,-0.1503,-0.061
0.1012,-0.1012,0.0087
0.0763,-0.0763,0.0799
0.0515,-0.0515,0.203
0.0271,-0.0271,0.4395
0.0135,-0.0135,0.7103
0,0,0.4708
0.0122,0.0122,-1.2481
0.0251,0.0251,-1.2758
0.051,0.051,-1.1284
0.0755,0.0755,-0.999
0.1,0.1,-0.9173
0.1504,0.1504,-0.8095
0.2004,0.2004,-0.7325
0.2501,0.2501,-0.6541
0.3002,0.3002,-0.5829
0.3507,0.3507,-0.5241
0.4,0.4,-0.4654
0.4503,0.4503,-0.4114
0.5,0.5,-0.3666
0.5506,0.5506,-0.3309
0.5997,0.5997,-0.288
0.6502,0.6502,-0.2452
0.7003,0.7003,-0.2031
0.7497,0.7497,-0.1596
0.7998,0.7998,-0.0799
0.8503,0.8503,-0.062
0.9,0.9,-0.0098
0.9483,0.9483,0.0681
