X/C,X/C UR,CP
0.9489,-0.9489,0.0798
0.8993,-0.8993,0.0298
0.85,-0.85,-0.0144
0.8003,-0.8003,-0.0511
0.7489,-0.7489,-0.0835
0.6996,-0.6996,-0.1184
0.6495,-0.6495,-0.1442
0.5994,-0.5994,-0.1664
0.5492,-0.5492,-0.1921
0.4997,-0.4997,-0.2245
0.4496,-0.4496,-0.244
0.3994,-0.3994,-0.2761
0.3499,-0.3499,-0.302
0.299,-0.299,-0.3313
0.2501,-0.2501,-0.3524
0.1994,-0.1994,-0.3794
0.1503,-0.1503,-0.3785
0.1012,-0.1012,-0.3897
0.0763,-0.0763,-0.3805
0.0515,-0.0515,-0.3026
0.0271,-0.0271,-0.1848
0.0135,-0.0135,0.0508
0,0,1.0196
0.0122,0.0122,-0.0255
0.0251,0.0251,-0.2537
0.051,0.051,-0.3855
0.0755,0.0755,-0.4104
0.1,0.1,-0.4234
0.1504,0.1504,-0.4294
0.2004,0.2004,-0.4081
0.2501,0.2501,-0.3791
0.3002,0.3002,-0.3465
0.3507,0.3507,-0.3211
0.4,0.4,-0.2921
0.4503,0.4503,-0.2566
0.5,0.5,-0.232
0.5506,0.5506,-0.2098
0.5997,0.5997,-0.1786
0.6502,0.6502,-0.1673
0.7003,0.7003,-0.1265
0.7497,0.7497,-0.0895
0.7998,0.7998,-0.0517
0.8503,0.8503,-0.0213
0.9,0.9,-0.001
0.9483,0.9483,0.0859
