X/C,X/C UR,CP
0.9489,-0.9489,0.0123
0.8993,-0.8993,-0.0368
0.85,-0.85,-0.097
0.8003,-0.8003,-0.1678
0.7489,-0.7489,-0.2354
0.6996,-0.6996,-0.299
0.6495,-0.6495,-0.3675
0.5994,-0.5994,-0.4372
0.5492,-0.5492,-0.5115
0.4997,-0.4997,-0.5954
0.4496,-0.4496,-0.687
0.3994,-0.3994,-0.7981
0.3499,-0.3499,-0.9091
0.299,-0.299,-1.0511
0.2501,-0.2501,-1.2253
0.1994,-0.1994,-1.4603
0.1503,-0.1503,-1.7605
0.1012,-0.1012,-2.2702
0.0763,-0.0763,-2.6775
0.0515,-0.0515,-3.2561
0.0271,-0.0271,-4.477
0.0135,-0.0135,-5.9727
0,0,-5.9494
0.0122,0.0122,0.7025
0.0251,0.0251,1.0003
0.051,0.051,0.9678
0.0755,0.0755,0.8538
0.1,0.1,0.7577
0.1504,0.1504,0.5984
0.2004,0.2004,0.4922
0.2501,0.2501,0.4122
0.3002,0.3002,0.3522
0.3507,0.3507,0.3031
0.4,0.4,0.2621
0.4503,0.4503,0.2369
0.5,0.5,0.2027
0.5506,0.5506,0.1787
0.5997,0.5997,0.1627
0.6502,0.6502,0.1275
0.7003,0.7003,0.1208
0.7497,0.7497,0.1074
0.7998,0.7998,0.1017
0.8503,0.8503,0.0877
0.9,0.9,0.0513
0.9483,0.9483,0.0617
