X/C,X/C UR,CP
0.9489,-0.9489,0.0573
0.8993,-0.8993,-0.0024
0.85,-0.85,-0.0756
0.8003,-0.8003,-0.1503
0.7489,-0.7489,-0.2206
0.6996,-0.6996,-0.2955
0.6495,-0.6495,-0.3657
0.5994,-0.5994,-0.4349
0.5492,-0.5492,-0.547
0.4997,-0.4997,-0.5953
0.4496,-0.4496,-0.6787
0.3994,-0.3994,-0.7844
0.3499,-0.3499,-0.9036
0.299,-0.299,-1.035
0.2501,-0.2501,-1.2033
0.1994,-0.1994,-1.4235
0.1503,-0.1503,-1.6794
0.1012,-0.1012,-2.1505
0.0763,-0.0763,-2.5231
0.0515,-0.0515,-3.0493
0.0271,-0.0271,-4.0596
0.0135,-0.0135,-5.3673
0,0,-4.6603
0.0122,0.0122,0.8455
0.0251,0.0251,1.0191
0.051,0.051,0.9257
0.0755,0.0755,0.7969
0.1,0.1,0.6937
0.1504,0.1504,0.5357
0.2004,0.2004,0.4271
0.2501,0.2501,0.3522
0.3002,0.3002,0.2965
0.3507,0.3507,0.2532
0.4,0.4,0.2209
0.4503,0.4503,0.1986
0.5,0.5,0.1651
0.5506,0.5506,0.1509
0.5997,0.5997,0.1335
0.6502,0.6502,0.1143
0.7003,0.7003,0.1065
0.7497,0.7497,0.1067
0.7998,0.7998,0.1062
0.8503,0.8503,0.0992
0.9,0.9,0.0794
0.9483,0.9483,0.0976
