X/C,X/C UR,CP
0.9489,-0.9489,0.0927
0.8993,-0.8993,0.0616
0.85,-0.85,0.0317
0.8003,-0.8003,0.0051
0.7489,-0.7489,-0.0212
0.6996,-0.6996,-0.0361
0.6495,-0.6495,-0.05015
0.5994,-0.5994,-0.0652
0.5492,-0.5492,-0.0728
0.4997,-0.4997,-0.0886
0.4496,-0.4496,-0.0978
0.3994,-0.3994,-0.1036
0.3499,-0.3499,-0.1043
0.299,-0.299,-0.1119
0.2501,-0.2501,-0.0936
0.1994,-0.1994,-0.0802
0.1503,-0.1503,-0.0234
0.1012,-0.1012,0.0459
0.0763,-0.0763,0.1167
0.0515,-0.0515,0.2623
0.0271,-0.0271,0.4916
0.0135,-0.0135,0.7485
0,0,0.4739
0.0122,0.0122,-1.2303
0.0251,0.0251,-1.2344
0.051,0.051,-1.109
0.0755,0.0755,-0.9988
0.1,0.1,-0.9241
0.1504,0.1504,-0.8054
0.2004,0.2004,-0.7193
0.2501,0.2501,-0.6353
0.3002,0.3002,-0.5684
0.3507,0.3507,-0.5049
0.4,0.4,-0.4513
0.4503,0.4503,-0.3996
0.5,0.5,-0.3569
0.5506,0.5506,-0.3122
0.5997,0.5997,-0.2683
0.6502,0.6502,-0.2323
0.7003,0.7003,-0.1851
0.7497,0.7497,-0.1413
0.7998,0.7998,-0.0868
0.8503,0.8503,-0.0397
0.9,0.9,-0.0002
0.9483,0.9483,0.0856
