X/C,X/C UR,CP
0.9489,-0.9489,0.0935
0.8993,-0.8993,0.0166
0.85,-0.85,-0.0471
0.8003,-0.8003,-0.107
0.7489,-0.7489,-0.1655
0.6996,-0.6996,-0.2197
0.6495,-0.6495,-0.2776
0.5994,-0.5994,-0.3251
0.5492,-0.5492,-0.3808
0.4997,-0.4997,-0.4508
0.4496,-0.4496,-0.5124
0.3994,-0.3994,-0.5893
0.3499,-0.3499,-0.668
0.299,-0.299,-0.7641
0.2501,-0.2501,-0.8657
0.1994,-0.1994,-1.0039
0.1503,-0.1503,-1.1548
0.1012,-0.1012,-1.4201
0.0763,-0.0763,-1.61
0.0515,-0.0515,-1.8325
0.0271,-0.0271,-2.3036
0.0135,-0.0135,-2.7291
0,0,-1.1694
0.0122,0.0122,1.02
0.0251,0.0251,0.8776
0.051,0.051,0.6298
0.0755,0.0755,0.4812
0.1,0.1,0.3806
0.1504,0.1504,0.2505
0.2004,0.2004,0.1709
0.2501,0.2501,0.1241
0.3002,0.3002,0.0923
0.3507,0.3507,0.0675
0.4,0.4,0.0555
0.4503,0.4503,0.0537
0.5,0.5,0.0397
0.5506,0.5506,0.0388
0.5997,0.5997,0.0421
0.6502,0.6502,0.0289
0.7003,0.7003,0.0453
0.7497,0.7497,0.0516
0.7998,0.7998,0.065
0.8503,0.8503,0.0705
0.9,0.9,0.0654
0.9483,0.9483,0.1174
