X/C,X/C UR,CP
0.9489,-0.9489,0.0743
0.8993,-0.8993,-0.0009
0.85,-0.85,-0.0705
0.8003,-0.8003,-0.1409
0.7489,-0.7489,-0.211
0.6996,-0.6996,-0.2823
0.6495,-0.6495,-0.3474
0.5994,-0.5994,-0.4135
0.5492,-0.5492,-0.4823
0.4997,-0.4997,-0.569
0.4496,-0.4496,-0.6407
0.3994,-0.3994,-0.7513
0.3499,-0.3499,-0.8593
0.299,-0.299,-0.9875
0.2501,-0.2501,-1.1455
0.1994,-0.1994,-1.346
0.1503,-0.1503,-1.5963
0.1012,-0.1012,-2.0162
0.0763,-0.0763,-2.3469
0.0515,-0.0515,-2.7959
0.0271,-0.0271,-3.6992
0.0135,-0.0135,-4.831
0,0,-3.8721
0.0122,0.0122,0.9191
0.0251,0.0251,1.0184
0.051,0.051,0.8813
0.0755,0.0755,0.7475
0.1,0.1,0.6395
0.1504,0.1504,0.4852
0.2004,0.2004,0.383
0.2501,0.2501,0.3113
0.3002,0.3002,0.2625
0.3507,0.3507,0.2195
0.4,0.4,0.188
0.4503,0.4503,0.17
0.5,0.5,0.1429
0.5506,0.5506,0.1328
0.5997,0.5997,0.1177
0.6502,0.6502,0.0988
0.7003,0.7003,0.0991
0.7497,0.7497,0.099
0.7998,0.7998,0.1
0.8503,0.8503,0.094
0.9,0.9,0.0687
0.9483,0.9483,0.1077
