X/C,X/C UR,CP
0.9489,-0.9489,0.085
0.8993,-0.8993,0.0148
0.85,-0.85,-0.0605
0.8003,-0.8003,-0.1183
0.7489,-0.7489,-0.1908
0.6996,-0.6996,-0.2539
0.6495,-0.6495,-0.3189
0.5994,-0.5994,-0.3818
0.5492,-0.5492,-0.4459
0.4997,-0.4997,-0.5285
0.4496,-0.4496,-0.6062
0.3994,-0.3994,-0.6977
0.3499,-0.3499,-0.8002
0.299,-0.299,-0.9279
0.2501,-0.2501,-1.0602
0.1994,-0.1994,-1.2501
0.1503,-0.1503,-1.4608
0.1012,-0.1012,-1.8531
0.0763,-0.0763,-2.1338
0.0515,-0.0515,-2.5277
0.0271,-0.0271,-3.339
0.0135,-0.0135,-4.2177
0,0,-3.1081
0.0122,0.0122,0.9664
0.0251,0.0251,1.0106
0.051,0.051,0.8302
0.0755,0.0755,0.6894
0.1,0.1,0.579
0.1504,0.1504,0.4324
0.2004,0.2004,0.3288
0.2501,0.2501,0.2712
0.3002,0.3002,0.2278
0.3507,0.3507,0.189
0.4,0.4,0.1662
0.4503,0.4503,0.1498
0.5,0.5,0.1276
0.5506,0.5506,0.1187
0.5997,0.5997,0.1077
0.6502,0.6502,0.0906
0.7003,0.7003,0.0961
0.7497,0.7497,0.0952
0.7998,0.7998,0.1061
0.8503,0.8503,0.092
0.9,0.9,0.0785
0.9483,0.9483,0.1164
