X/C,X/C UR,CP
0.9489,-0.9489,0.0677
0.8993,-0.8993,-0.0157
0.85,-0.85,-0.0857
0.8003,-0.8003,-0.1509
0.7489,-0.7489,-0.2218
0.6996,-0.6996,-0.2853
0.6495,-0.6495,-0.3473
0.5994,-0.5994,-0.4096
0.5492,-0.5492,-0.4794
0.4997,-0.4997,-0.5582
0.4496,-0.4496,-0.6295
0.3994,-0.3994,-0.7234
0.3499,-0.3499,-0.8145
0.299,-0.299,-0.9417
0.2501,-0.2501,-1.0785
0.1994,-0.1994,-1.2628
0.1503,-0.1503,-1.4867
0.1012,-0.1012,-1.8701
0.0763,-0.0763,-2.1594
0.0515,-0.0515,-2.5375
0.0271,-0.0271,-3.3454
0.0135,-0.0135,-4.2125
0,0,-3.0326
0.0122,0.0122,0.9663
0.0251,0.0251,0.9968
0.051,0.051,0.8241
0.0755,0.0755,0.6844
0.1,0.1,0.5769
0.1504,0.1504,0.4192
0.2004,0.2004,0.3216
0.2501,0.2501,0.2589
0.3002,0.3002,0.2104
0.3507,0.3507,0.181
0.4,0.4,0.1458
0.4503,0.4503,0.1286
0.5,0.5,0.1058
0.5506,0.5506,0.0946
0.5997,0.5997,0.0867
0.6502,0.6502,0.0627
0.7003,0.7003,0.0737
0.7497,0.7497,0.0751
0.7998,0.7998,0.0835
0.8503,0.8503,0.0756
0.9,0.9,0.0537
0.9483,0.9483,0.1043
