X/C,X/C UR,CP
0.9489,-0.9489,0.089
0.8993,-0.8993,0.0305
0.85,-0.85,-0.0281
0.8003,-0.8003,-0.0665
0.7489,-0.7489,-0.1049
0.6996,-0.6996,-0.143
0.6495,-0.6495,-0.179
0.5994,-0.5994,-0.2094
0.5492,-0.5492,-0.2408
0.4997,-0.4997,-0.2845
0.4496,-0.4496,-0.3202
0.3994,-0.3994,-0.3538
0.3499,-0.3499,-0.3952
0.299,-0.299,-0.4381
0.2501,-0.2501,-0.4778
0.1994,-0.1994,-0.5333
0.1503,-0.1503,-0.5675
0.1012,-0.1012,-0.6295
0.0763,-0.0763,-0.654
0.0515,-0.0515,-0.6389
0.0271,-0.0271,-0.5976
0.0135,-0.0135,-0.4944
0,0,0.9236
0.0122,0.0122,0.4338
0.0251,0.0251,0.1516
0.051,0.051,-0.0553
0.0755,0.0755,-0.1309
0.1,0.1,-0.1805
0.1504,0.1504,-0.2371
0.2004,0.2004,-0.2482
0.2501,0.2501,-0.2391
0.3002,0.3002,-0.2246
0.3507,0.3507,-0.2168
0.4,0.4,-0.1953
0.4503,0.4503,-0.1811
0.5,0.5,-0.1662
0.5506,0.5506,-0.1444
0.5997,0.5997,-0.1217
0.6502,0.6502,-0.118
0.7003,0.7003,-0.0794
0.7497,0.7497,-0.0514
0.7998,0.7998,-0.021
0.8503,0.8503,-0.0012
0.9,0.9,0.0249
0.9483,0.9483,0.099
