X/C,X/C UR,CP
0.9489,-0.9489,0.0742
0.8993,-0.8993,0.0016
0.85,-0.85,-0.0653
0.8003,-0.8003,-0.1324
0.7489,-0.7489,-0.1902
0.6996,-0.6996,-0.2423
0.6495,-0.6495,-0.3003
0.5994,-0.5994,-0.3512
0.5492,-0.5492,-0.408
0.4997,-0.4997,-0.478
0.4496,-0.4496,-0.5339
0.3994,-0.3994,-0.6167
0.3499,-0.3499,-0.6955
0.299,-0.299,-0.789
0.2501,-0.2501,-0.8944
0.1994,-0.1994,-1.0284
0.1503,-0.1503,-1.1883
0.1012,-0.1012,-1.4632
0.0763,-0.0763,-1.6666
0.0515,-0.0515,-1.889
0.0271,-0.0271,-2.3763
0.0135,-0.0135,-2.7985
0,0,-1.2079
0.0122,0.0122,1.0164
0.0251,0.0251,0.8774
0.051,0.051,0.6258
0.0755,0.0755,0.4807
0.1,0.1,0.3791
0.1504,0.1504,0.2389
0.2004,0.2004,0.1622
0.2501,0.2501,0.1122
0.3002,0.3002,0.0818
0.3507,0.3507,0.055
0.4,0.4,0.0403
0.4503,0.4503,0.0378
0.5,0.5,0.0234
0.5506,0.5506,0.0213
0.5997,0.5997,0.0245
0.6502,0.6502,0.0083
0.7003,0.7003,0.0302
0.7497,0.7497,0.0373
0.7998,0.7998,0.0504
0.8503,0.8503,0.0613
0.9,0.9,0.049
0.9483,0.9483,0.1058
