X/C,X/C UR,CP
0.9489,-0.9489,0.0934
0.8993,-0.8993,0.0229
0.85,-0.85,-0.0396
0.8003,-0.8003,-0.0906
0.7489,-0.7489,-0.1447
0.6996,-0.6996,-0.1909
0.6495,-0.6495,-0.2424
0.5994,-0.5994,-0.2862
0.5492,-0.5492,-0.3302
0.4997,-0.4997,-0.3934
0.4496,-0.4496,-0.4435
0.3994,-0.3994,-0.5103
0.3499,-0.3499,-0.5709
0.299,-0.299,-0.6507
0.2501,-0.2501,-0.7302
0.1994,-0.1994,-0.8406
0.1503,-0.1503,-0.95
0.1012,-0.1012,-1.1375
0.0763,-0.0763,-1.2699
0.0515,-0.0515,-1.3934
0.0271,-0.0271,-1.673
0.0135,-0.0135,-1.9
0,0,-0.1626
0.0122,0.0122,0.9327
0.0251,0.0251,0.7112
0.051,0.051,0.4384
0.0755,0.0755,0.3112
0.1,0.1,0.2167
0.1504,0.1504,0.1036
0.2004,0.2004,0.0444
0.2501,0.2501,0.0164
0.3002,0.3002,-0.0032
0.3507,0.3507,-0.0172
0.4,0.4,-0.0233
0.4503,0.4503,-0.0181
0.5,0.5,-0.0234
0.5506,0.5506,-0.0151
0.5997,0.5997,-0.0085
0.6502,0.6502,-0.0128
0.7003,0.7003,0.0092
0.7497,0.7497,0.0205
0.7998,0.7998,0.0411
0.8503,0.8503,0.0502
0.9,0.9,0.0564
0.9483,0.9483,0.1122
