X/C,X/C UR,CP
0.9489,-0.9489,0.0906
0.8993,-0.8993,0.0388
0.85,-0.85,-0.0095
0.8003,-0.8003,-0.0462
0.7489,-0.7489,-0.0795
0.6996,-0.6996,-0.1075
0.6495,-0.6495,-0.135
0.5994,-0.5994,-0.1589
0.5492,-0.5492,-0.1867
0.4997,-0.4997,-0.2184
0.4496,-0.4496,-0.2439
0.3994,-0.3994,-0.2694
0.3499,-0.3499,-0.2961
0.299,-0.299,-0.3282
0.2501,-0.2501,-0.3416
0.1994,-0.1994,-0.3735
0.1503,-0.1503,-0.3748
0.1012,-0.1012,-0.3875
0.0763,-0.0763,-0.3704
0.0515,-0.0515,-0.3031
0.0271,-0.0271,-0.1645
0.0135,-0.0135,0.0344
0,0,1.0258
0.0122,0.0122,-0.0069
0.0251,0.0251,-0.2395
0.051,0.051,-0.3766
0.0755,0.0755,-0.3977
0.1,0.1,-0.4135
0.1504,0.1504,-0.4163
0.2004,0.2004,-0.3966
0.2501,0.2501,-0.3638
0.3002,0.3002,-0.3385
0.3507,0.3507,-0.3109
0.4,0.4,-0.28
0.4503,0.4503,-0.2517
0.5,0.5,-0.2275
0.5506,0.5506,-0.2022
0.5997,0.5997,-0.1682
0.6502,0.6502,-0.1496
0.7003,0.7003,-0.1135
0.7497,0.7497,-0.0831
0.7998,0.7998,-0.0469
0.8503,0.8503,-0.0142
0.9,0.9,0.015
0.9483,0.9483,0.0957
