,6.00E-02
0.013597033,-1.46935725
0.018541409,-1.475336323
0.025957973,-1.475336323
0.035846724,-1.481315396
0.044499382,-1.487294469
0.054388133,-1.493273543
0.065512979,-1.499252616
0.072929543,-1.511210762
0.088998764,-1.523168909
0.190358467,-1.547085202
0.217552534,-1.523168909
0.248454883,-1.505231689
0.278121137,-1.463378176
0.307787392,-1.427503737
0.336217553,-1.385650224
0.367119901,-1.343796712
0.414091471,-1.23019432
0.446229913,-1.182361734
0.47960445,-1.128550075
0.522867738,-1.002989537
0.600741656,-0.901345291
0.669962917,-0.793721973
0.726823239,-0.745889387
0.762669963,-0.710014948
0.800988875,-0.674140508
0.835599506,-0.602391629
0.873918418,-0.590433483
0.911001236,-0.572496263
0.944375773,-0.542600897
