,1.40E-01
0.948084054,-0.165919283
0.911001236,-0.201793722
0.873918418,-0.261584454
0.838071693,-0.30941704
0.800988875,-0.387144993
0.762669963,-0.440956652
0.728059333,-0.488789238
0.669962917,-0.560538117
0.599505562,-0.620328849
0.521631644,-0.704035874
0.478368356,-0.757847534
0.443757726,-0.775784753
0.410383189,-0.7877429
0.367119901,-0.823617339
0.337453646,-0.835575486
0.306551298,-0.853512706
0.279357231,-0.871449925
0.248454883,-0.907324365
0.217552534,-0.919282511
0.187886279,-0.955156951
0.088998764,-1.056801196
0.059332509,-1.080717489
0.042027194,-2.11509716
0.037082818,-2.11509716
0.025957973,-2.121076233
0.018541409,-2.13303438
0.009888752,-2.198804185
0.012360939,0.838565022
0.022249691,0.718983558
0.033374536,0.641255605
0.064276885,0.491778774
0.0815822,0.443946188
0.113720643,0.360239163
0.207663782,0.234678625
0.264524104,0.180866966
0.317676143,0.144992526
0.393077874,0.121076233
0.501854141,0.061285501
0.613102596,0.037369208
0.728059333,0.061285501
0.856613103,0.091180867
0.933250927,0.121076233
0.933250927,0.121076233
