,0.1,
0.97,0.086238056,-
0.955,0.044571168,-
0.9275,,-
0.9,0.016159036,-
0.8725,-0.002724088,-
0.8575,-0.012242497,-
0.8435,,-
0.78,-0.086047263,-
0.67,-0.159915627,-
0.54,-0.318681202,-
0.36,-0.477573972,-
0.2,-0.60073031,-
0.12,-0.488841309,-
0.06,-0.324124079,-
0.03,-0.001664132,-
0.0075,0.996274253,-
0.0075,,-
0.03,-0.354364636,-
0.06,-0.271571438,-
0.12,-0.222431858,-
0.2,-0.116568709,-
0.36,-0.055425122,-
0.54,-0.048493007,-
0.67,-0.047321755,-
0.78,,-
0.8435,,-
0.8575,,-
0.8725,0.038529416,-
0.9,0.053686793,-
0.9275,0.072702412,-
0.955,,-
0.97,0.106864808,-
