,0.1,
0.97,-0.025141376,-
0.955,-0.052293934,-
0.9275,-0.065990499,-
0.9,-0.080248399,-
0.8725,-0.093944964,-
0.8575,-0.107481147,-
0.8435,-0.108042482,-
0.78,-0.175322447,-
0.67,-0.310443711,-
0.54,-0.535827584,-
0.36,-0.97241762,-
0.2,-1.636829325,-
0.12,-2.103009716,-
0.06,-2.725128866,-
0.03,-3.392058558,-
0.0075,-4.319768281,-
0.0075,,-
0.03,1.001122669,-
0.06,0.884669791,-
0.12,0.677713732,-
0.2,0.523699548,-
0.36,0.378698794,-
0.54,0.260610026,-
0.67,0.179120276,-
0.78,0.118335755,-
0.8435,0.094230442,-
0.8575,0.120901856,-
0.8725,0.101800441,-
0.9,0.095994637,-
0.9275,0.084142457,-
0.955,0.045779245,-
0.97,,-
