,0.1,
0.97,0.113475797,-
0.955,0.084843473,-
0.9275,0.061875692,-
0.9,0.030436895,-
0.8725,-0.015249264,-
0.8575,-0.023926682,-
0.8435,-0.035410572,-
0.78,-0.104141912,-
0.67,-0.235768046,-
0.54,-0.407329795,-
0.36,-0.673010135,-
0.2,-1.032370466,-
0.12,-1.132454603,-
0.06,-1.158564256,-
0.03,-1.030974396,-
0.0075,-0.531161447,-
0.0075,1.01147529,-
0.03,0.537221592,-
0.06,0.358513229,-
0.12,0.225473825,-
0.2,0.175008923,-
0.36,0.159331091,-
0.54,0.12109828,-
0.67,0.079620395,-
0.78,0.077699725,-
0.8435,0.075374853,-
0.8575,0.109602923,-
0.8725,0.123944885,-
0.9,0.118495341,-
0.9275,0.121551214,-
0.955,0.133138304,-
0.97,,-
