,0.31,0.42,0.53,0.54
1,-0.79,-0.83,-0.86,-0.86
0.947,-0.82,-0.86,-0.89,-0.88
0.902,-0.83,-0.87,-0.9,-0.9
0.852,-0.84,-0.88,-0.92,-0.9
0.802,-0.86,-0.9,-0.93,-0.92
0.752,-0.85,-0.9,-0.93,-0.92
0.701,-0.85,-0.9,-0.93,-0.93
0.651,-0.85,-0.89,-0.93,-0.92
0.6,-0.85,-0.89,-0.93,-0.92
0.551,-0.85,-0.88,-0.92,-0.91
0.5,-0.84,-0.88,-0.92,-0.91
0.45,-0.83,-0.88,-0.92,-0.91
0.4,-0.82,-0.87,-0.91,-0.9
0.352,-0.81,-0.86,-0.9,-0.89
0.298,-0.81,-0.85,-0.9,-0.89
0.25,-0.81,-0.85,-0.89,-0.88
0.2,-0.8,-0.84,-0.89,-0.88
0.15,-0.8,-0.84,-0.89,-0.87
0.1,-0.8,-0.84,-0.88,-0.87
0.075,-0.79,-0.84,-0.88,-0.87
0.05,-0.79,-0.83,-0.88,-0.87
0.025,-0.79,-0.83,-0.87,-0.87
0.013,-0.8,-0.83,-0.88,-0.87
0.006,-0.8,-0.83,-0.88,-0.87
0,-0.83,-0.86,-0.9,-0.89
0.013,1.02,1.03,1.05,1.07
0.026,0.97,0.99,1.05,1.07
0.05,0.95,0.97,1,1.02
0.075,0.91,0.92,0.95,0.97
0.101,0.85,0.86,0.89,0.91
0.151,0.75,0.77,0.8,0.82
0.2,0.68,0.7,0.73,0.74
0.252,0.61,0.63,0.66,0.68
0.302,0.56,0.57,0.6,0.62
0.352,0.5,0.51,0.54,0.55
0.4,0.44,0.47,0.49,0.51
0.451,0.4,0.43,0.45,0.47
0.501,0.35,0.39,0.4,0.42
0.551,0.3,0.32,0.35,0.36
0.601,0.26,0.28,0.31,0.32
0.652,0.23,0.24,0.27,0.28
0.702,0.19,0.21,0.24,0.25
0.752,0.15,0.17,0.2,0.21
0.801,0.11,0.13,0.16,0.17
0.851,0.02,0.04,0.06,0.07
0.902,-0.1,-0.08,-0.07,-0.06
0.951,-0.36,-0.38,-0.39,-0.38
