x/c,y/c
0.997940268,-0.310945274
0.932028836,-0.519900498
0.853759011,-0.529850746
0.805355304,-0.594527363
0.754891864,-0.604477612
0.702368692,-0.604477612
0.654994851,-0.604477612
0.600411946,-0.609452736
0.549948507,-0.614427861
0.499485067,-0.609452736
0.447991761,-0.614427861
0.397528321,-0.609452736
0.349124614,-0.614427861
0.298661174,-0.614427861
0.2492276,-0.639303483
0.203913491,-0.614427861
0.148300721,-0.644278607
0.125643666,-0.634328358
0.097837281,-0.639303483
0.073120494,-0.629353234
0.038105046,-0.723880597
0.020597322,-0.992537313
0.005149331,-0.962686567
0.001029866,0.330845771
0.004119464,1.281094527
0.030895984,0.982587065
0.05046344,0.78358209
0.07415036,0.654228856
0.096807415,0.57960199
0.120494336,0.624378109
0.146240989,0.529850746
0.192584964,0.405472637
0.295571576,0.21641791
0.374871267,0.126865672
0.436663234,0.047263682
0.502574665,-0.027363184
0.61277034,-0.047263682
0.656024717,-0.007462687
0.709577755,0.037313433
0.800205973,0.10199005
0.835221421,0.116915423
0.876416066,0.146766169
0.936148301,0.052238806
