x/c,y/c
0.998985801,0.14
0.93306288,-0.052
0.853955375,-0.052
0.805273834,-0.132
0.754563895,-0.196
0.702839757,-0.292
0.655172414,-0.404
0.60040568,-0.548
0.548681542,-0.676
0.498985801,-0.788
0.447261663,-0.876
0.397565923,-0.948
0.348884381,-1.012
0.298174442,-1.092
0.248478702,-1.42
0.202839757,-2.428
0.148073022,-2.46
0.123732252,-2.452
0.096348884,-2.468
0.072008114,-2.484
0.037525355,-2.772
0.019269777,-3.204
0.005070994,-3.292
0.002028398,-1.436
0.002028398,0.716
0.031440162,1.284
0.04969574,1.18
0.074036511,1.036
0.096348884,0.932
0.120689655,0.82
0.145030426,0.74
0.19168357,0.612
0.294117647,0.428
0.376267748,0.348
0.436105477,0.276
0.503042596,0.212
0.613590264,0.204
0.657200811,0.244
0.708924949,0.284
0.80020284,0.34
0.834685598,0.364
0.876267748,0.38
0.937119675,0.364
