x/c,y/c
0.998958333,0.223404255
0.932291667,0.059738134
0.854166667,0.035188216
0.805208333,-0.071194763
0.754166667,-0.153027823
0.704166667,-0.275777414
0.655208333,-0.414893617
0.601041667,-0.570376432
0.548958333,-0.684942717
0.498958333,-0.791325696
0.448958333,-0.873158756
0.397916667,-0.930441899
0.348958333,-0.971358429
0.297916667,-0.979541735
0.247916667,-1.380523732
0.203125,-2.182487725
0.147916667,-2.231587561
0.123958333,-2.231587561
0.096875,-2.264320786
0.071875,-2.305237316
0.0375,-2.714402619
0.019791667,-3.058101473
0.004166667,-2.976268412
-0.001041667,-1.102291326
0.003125,0.87806874
0.030208333,1.262684124
0.048958333,1.139934534
0.072916667,0.992635025
0.095833333,0.886252046
0.120833333,0.763502455
0.144791667,0.6898527
0.191666667,0.558919804
0.294791667,0.387070376
0.375,0.313420622
0.436458333,0.25613748
0.502083333,0.198854337
0.613541667,0.198854337
0.657291667,0.239770867
0.709375,0.280687398
0.801041667,0.33797054
0.835416667,0.354337152
0.877083333,0.362520458
0.936458333,0.370703764
