x/c,y/c
0.998953975,0.310606061
0.930962343,0.098484848
0.853556485,0.015151515
0.753138075,-0.25
0.70292887,-0.409090909
0.654811715,-0.568181818
0.60041841,-0.71969697
0.548117155,-0.833333333
0.498953975,-0.901515152
0.447698745,-0.977272727
0.39748954,-1.007575758
0.349372385,-1.090909091
0.298117155,-1.348484848
0.24790795,-1.568181818
0.20292887,-1.636363636
0.14748954,-1.704545455
0.124476987,-1.765151515
0.09623431,-1.909090909
0.072175732,-2.090909091
0.037656904,-2.507575758
0.018828452,-2.606060606
0.005230126,-2.234848485
0.00209205,-0.409090909
0.0041841,1.159090909
0.030334728,1.136363636
0.04916318,0.984848485
0.073221757,0.848484848
0.09623431,0.75
0.120292887,0.659090909
0.14539749,0.590909091
0.191422594,0.477272727
0.293933054,0.325757576
0.374476987,0.257575758
0.436192469,0.212121212
0.501046025,0.166666667
0.612970711,0.196969697
0.656903766,0.242424242
0.708158996,0.272727273
0.800209205,0.318181818
0.834728033,0.333333333
0.875523013,0.340909091
0.936192469,0.348484848
