x/c,y/c
0.998948475,0.383248731
0.931650894,0.166666667
0.853838065,0.024534687
0.804416404,-0.131133672
0.753943218,-0.28680203
0.703470032,-0.510152284
0.655099895,-0.719966159
0.60042061,-0.835025381
0.548895899,-0.902707276
0.499474238,-0.936548223
0.447949527,-0.990693739
0.397476341,-1.038071066
0.349106204,-1.098984772
0.298633018,-1.159898477
0.248159832,-1.26142132
0.202944269,-1.329103215
0.148264984,-1.430626058
0.124079916,-1.511844332
0.096740273,-1.633671743
0.072555205,-1.775803723
0.03785489,-2.019458545
0.01997897,-1.978849408
0.005257624,-1.444162437
0.002103049,0.220812183
0.002103049,1.290186125
0.030494217,0.958544839
0.050473186,0.80964467
0.07360673,0.67428088
0.096740273,0.593062606
0.120925342,0.5321489
0.146161935,0.457698816
0.192429022,0.362944162
0.294426919,0.234348562
0.374342797,0.193739425
0.436382755,0.159898477
0.501577287,0.132825719
0.613038906,0.193739425
0.65615142,0.234348562
0.708727655,0.25465313
0.800210305,0.274957699
0.833859096,0.288494078
0.874868559,0.302030457
0.935856993,0.274957699
