x/c,y/c
1,0.252475248
0.932377049,0.044554455
0.854508197,0.007425743
0.805327869,-0.111386139
0.755122951,-0.222772277
0.702868852,-0.371287129
0.654713115,-0.527227723
0.600409836,-0.683168317
0.549180328,-0.794554455
0.49897541,-0.891089109
0.448770492,-0.98019802
0.397540984,-1.017326733
0.349385246,-1.061881188
0.298155738,-1.113861386
0.24795082,-1.522277228
0.202868852,-1.945544554
0.147540984,-2.012376238
0.125,-2.034653465
0.097336066,-2.101485149
0.071721311,-2.25
0.036885246,-2.732673267
0.019467213,-2.918316832
0.004098361,-2.665841584
0.00307377,-0.77970297
0.006147541,1.017326733
0.029713115,1.188118812
0.049180328,1.054455446
0.073770492,0.920792079
0.096311475,0.816831683
0.119877049,0.727722772
0.145491803,0.638613861
0.192622951,0.527227723
0.295081967,0.363861386
0.375,0.297029703
0.43647541,0.237623762
0.50204918,0.185643564
0.613729508,0.20049505
0.657786885,0.252475248
0.710040984,0.282178218
0.801229508,0.334158416
0.835040984,0.341584158
0.87704918,0.363861386
0.9375,0.371287129
