x/c,y/c,,
1,0.000421348,,
0.9305084745762708,0.018679775,,
0.8533898305084744,0.039747191,,
0.8042372881355928,0.05238764,,
0.754237288,0.06502809,,
0.7033898305084745,0.076264045,,
0.6542372881355931,0.086095506,,
0.5999999999999999,0.094522472,,
0.5483050847457624,0.100140449,,
0.49915254237288126,0.103651685,,
0.44830508474576264,0.105758427,,
0.397457627,0.105758427,,
0.34915254237288124,0.10505618,,
0.2983050847457626,0.102247191,,
0.24830508474576263,0.098735955,,
0.20338983050847453,0.093820225,,
0.1483050847457627,0.084691011,,
0.12457627118644066,0.080477528,,
0.097457627,0.073455056,,
0.072881356,0.065730337,,
0.038135593,0.050983146,,
0.020338983050847442,0.039044944,,
0.005932203,0.023595506,,
0,0.001123596,,
0.004237288,-0.011516854,,
0.030508475,-0.028370787,,
0.049152542,-0.035393258,,
0.072881356,-0.041713483,,
0.095762712,-0.045926966,,
0.11949152542372882,-0.050140449,,
0.14406779661016944,-0.053651685,,
0.19152542372881354,-0.057865169,,
0.2940677966101694,-0.063483146,,
0.373728814,-0.06488764,,
0.4355932203389829,-0.063483146,,
0.5008474576271185,-0.05997191,,
0.6118644067796608,-0.048033708,,
0.6559322033898305,-0.041011236,,
0.7076271186440677,-0.031882022,,
0.7991525423728811,-0.01502809,,
0.8338983050847455,-0.01011236,,
0.8745762711864404,-0.005196629,,
0.9355932203389827,-0.001685393,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
