,1.00E+06
1,-0.007246377
0.934541204,0.101449275
0.873173583,0.043478261
0.812390415,-0.036231884
0.739918177,-0.105072464
0.699590883,-0.166666667
0.646990064,-0.286231884
0.597895967,-0.398550725
0.572180012,-0.463768116
0.524839275,-0.59057971
0.50087668,-0.630434783
0.478667446,-0.670289855
0.457042665,-0.68115942
0.435417884,-0.688405797
0.414377557,-0.692028986
0.373465809,-0.695652174
0.334891876,-0.655797101
0.317942724,-0.634057971
0.299824664,-0.623188406
0.282291058,-0.608695652
0.264757452,-0.59057971
0.232028054,-0.547101449
0.202805377,-0.503623188
0.175920514,-0.434782609
0.149035652,-0.416666667
0.12565751,-0.347826087
0.104617183,-0.246376812
0.082407949,-0.130434783
0.064874342,-0.036231884
0.049678551,0.086956522
0.035067212,0.282608696
0.022793688,0.43115942
0.015195792,0.608695652
0.003506721,0.807971014
0.001168907,-0.423913043
0.005260082,-1.210144928
0.008766803,-1.442028986
0.014611338,-1.25
0.032144944,-0.942028986
0.130333139,-0.543478261
0.205727645,-0.427536232
0.24956166,-0.369565217
0.296317943,-0.307971014
0.348918761,-0.268115942
0.40327294,-0.239130435
0.462302747,-0.195652174
0.524839275,-0.177536232
0.592635885,-0.148550725
0.663939217,-0.130434783
0.756867329,-0.101449275
0.822326125,-0.028985507
0.906487434,0.018115942
1,-0.014492754
