,1.00E+06
1,-0.007246377
0.932787843,0.105072464
0.872589129,0.036231884
0.811805961,-0.036231884
0.739333723,-0.108695652
0.70075979,-0.170289855
0.648158971,-0.286231884
0.59672706,-0.427536232
0.572180012,-0.507246377
0.547632963,-0.59057971
0.524839275,-0.641304348
0.502045587,-0.684782609
0.478667446,-0.731884058
0.457627119,-0.746376812
0.436586791,-0.757246377
0.414377557,-0.760869565
0.374050263,-0.782608696
0.336060783,-0.760869565
0.316773816,-0.739130435
0.298655757,-0.735507246
0.282291058,-0.72826087
0.263588545,-0.710144928
0.233196961,-0.684782609
0.202805377,-0.644927536
0.174751607,-0.59057971
0.150204559,-0.579710145
0.12390415,-0.525362319
0.104617183,-0.43115942
0.083576856,-0.333333333
0.06604325,-0.253623188
0.050847458,-0.152173913
0.035067212,0.028985507
0.024547049,0.18115942
0.014611338,0.362318841
0.009351257,0.601449275
-0.000584454,0.876811594
-0.001168907,0.315217391
0.003506721,-0.311594203
0.008766803,-0.692028986
0.015780245,-0.655797101
0.032729398,-0.467391304
0.099941555,-0.394927536
0.130333139,-0.326086957
0.207481005,-0.246376812
0.24956166,-0.210144928
0.296317943,-0.18115942
0.348334307,-0.15942029
0.402688486,-0.134057971
0.461718293,-0.112318841
0.524254822,-0.105072464
0.593220339,-0.097826087
0.666277031,-0.097826087
0.822326125,-0.072463768
0.905902981,-0.02173913
1,-0.003623188
