,0.3,0.4,0.5,0.6
0.9489,-0.0178,0.0497,0.0013,-0.1365
0.8993,0.0475,-0.0083,-0.037,-0.1708
0.85,-0.0852,-0.0753,-0.0895,-0.2072
0.8003,-0.146,-0.139,-0.1389,-0.2398
0.7489,-0.2153,-0.209,-0.1947,-0.2967
0.6996,-0.2626,-0.265,-0.2484,-0.3322
0.6495,-0.321,-0.3278,-0.307,-0.3852
0.5994,-0.3846,-0.3916,-0.368,-0.4385
0.5492,-0.4546,-0.4617,-0.4399,-0.4963
0.4997,-0.5354,-0.5483,-0.5131,-0.585
0.4496,-0.6044,-0.631,-0.5945,-0.6604
0.3994,-0.6937,-0.7154,-0.6851,-0.7383
0.3499,-0.7865,-0.8186,-0.7806,-0.8529
0.2999,-0.8996,-0.9356,-0.9018,-0.9894
0.2501,-1.0278,-1.0694,-1.0407,-1.1289
0.1994,-1.1922,-1.2486,-1.2247,-1.3146
0.1503,-1.3903,-1.4625,-1.4774,-1.5419
0.1012,-1.7245,-1.82,-2.0175,-1.7805
0.0763,-1.9884,-2.0843,-2.4761,-2.0558
0.0515,-2.3162,-2.4543,-3.2372,-2.3517
0.0271,-2.9668,-2.9517,-3.5558,-2.3947
0.0135,-3.8803,-4.4113,-3.6508,-2.3511
0,-2.3938,-1.973,-0.9971,-0.1928
0,-2.3938,-1.973,-0.9971,-0.1928
0.0122,0.9863,1.0154,1.0489,1.0652
0.0251,0.9543,0.9659,0.9483,0.9012
0.051,0.7384,0.753,0.7142,0.6478
0.0755,0.5914,0.5982,0.5636,0.4993
0.1,0.4774,0.4954,0.4533,0.3872
0.1504,0.3276,0.3373,0.2984,0.2423
0.2004,0.2294,0.2456,0.2028,0.1489
0.2501,0.1686,0.1818,0.1409,0.0939
0.3002,0.1311,0.14,0.1034,0.051
0.3507,0.0989,0.1045,0.0722,0.0223
0.4,0.0751,0.0877,0.0521,0.0029
0.4503,0.0627,0.0679,0.038,-0.0115
0.5,0.045,0.0534,0.0201,-0.031
0.5506,0.0397,0.0507,0.0091,-0.0377
0.5997,0.0413,0.048,0.0091,-0.0411
0.5502,0.0389,0.039,-0.0022,-0.0545
0.7003,0.0389,0.0413,-0.0007,-0.0562
0.7497,0.0303,0.0366,-0.0014,-0.0598
0.7998,0.0416,0.0444,0.004,-0.0509
0.8503,0.0402,0.0441,-0.002,-0.0676
0.9,0.0335,0.0377,-0.009,-0.0913
0.9483,0.0691,0.0682,0.0192,-0.07
