,0.3,0.4,0.5
0.9489,0.0137,-0.0396,-0.2221
0.8993,-0.0366,-0.0698,-0.2506
0.85,-0.1043,-0.1063,-0.3646
0.8003,-0.1651,-0.1508,-0.3225
0.7489,-0.279,-0.2038,-0.3578
0.6996,-0.2862,-0.2635,-0.3984
0.6495,-0.365,-0.3131,-0.4232
0.5994,-0.4195,-0.385,-0.4716
0.5492,-0.4847,-0.4517,-0.5332
0.4997,-0.5662,-0.5276,-0.6164
0.4496,-0.654,-0.6141,-0.6512
0.3994,-0.7593,-0.7294,-0.7251
0.3499,-0.8495,-0.8321,-0.808
0.2999,-0.9825,-0.9601,-0.9
0.2501,-1.1279,-1.1093,-1.0329
0.1994,-1.3198,-1.3159,-1.2017
0.1503,-1.5529,-1.5666,-1.4167
0.1012,-1.9557,-1.9769,-1.801
0.0763,-2.2818,-2.2723,-1.9788
0.0515,-2.7126,-2.8111,-2.4288
0.0271,-3.6013,-4.5069,-3.0784
0.0135,-4.9102,-5.2009,-3.2607
0,-3.6448,-2.6493,-1.0995
0,-3.6448,-2.6493,-1.0995
0.0122,0.9083,0.9814,1.0471
0.0251,0.9961,1.0076,0.9675
0.051,0.8429,0.8281,0.7482
0.0755,0.701,0.6896,0.5966
0.1,0.5914,0.578,0.4836
0.1504,0.4324,0.4265,0.3296
0.2004,0.3283,0.3123,0.2263
0.2501,0.2536,0.2447,0.1568
0.3002,0.2033,0.1898,0.1087
0.3507,0.1677,0.1463,0.0742
0.4,0.1302,0.1156,0.0427
0.4503,0.1189,0.1072,0.0232
0.5,0.0993,0.0851,0.0008
0.5506,0.0838,0.0644,-0.0152
0.5997,0.0711,0.0511,-0.0279
0.6502,0.0516,0.0393,-0.0451
0.7003,0.0573,0.0243,-0.0536
0.7497,0.049,0.0225,-0.0649
0.7998,0.0473,0.0191,-0.0665
0.8503,0.0364,0.0084,-0.0891
0.9,0.0299,-0.0104,-0.1235
0.9483,0.0435,0.0053,-0.121
