,0.3,0.5,0.7,0.75,0.8,0.83
0.9701,0.1172,0.1304,0.1675,0.1801,0.2003,0.2153
0.9102,0.0513,0.0588,0.0746,0.0845,0.1046,0.1269
0.8797,0.015,0.0255,0.036,0.0431,0.0596,0.0877
0.8503,-0.0089,-0.0008,0.0038,0.0107,0.0308,0.0594
0.8198,-0.0345,-0.0257,-0.0271,-0.022,-0.0033,0.0317
0.79,-0.0772,-0.0632,-0.0594,-0.0534,-0.0325,0.007
0.7304,-0.0965,-0.0953,-0.1014,-0.1022,-0.0795,-0.0223
0.6994,-0.1157,-0.124,-0.1329,-0.1357,-0.1113,-0.04731
0.6696,-0.1413,-0.143,-0.1578,-0.1633,-0.1373,-0.0503
0.6396,-0.1515,-0.1636,-0.1809,-0.1844,-0.1564,-0.0535
0.6095,-0.1664,-0.1766,-0.2015,-0.2088,-0.1719,-0.0628
0.5792,-0.1709,-0.1868,-0.2168,-0.2275,-0.1825,-0.1322
0.5494,-0.2036,-0.2188,-0.2474,-0.2589,-0.1959,-0.4231
0.5192,-0.2039,-0.2243,-0.2675,-0.2874,-0.194,-0.781
0.4893,-0.2408,-0.259,-0.3043,-0.3267,-0.1878,-0.8069
0.4591,-0.2368,-0.2695,-0.3231,-0.3528,-0.2155,-0.8359
0.3994,-0.2935,-0.2891,-0.3552,-0.3868,-0.791,-0.8509
0.3691,-0.3266,-0.3503,-0.3849,-0.4206,-0.8381,-0.844
0.3393,-0.3367,-0.3759,-0.4297,-0.4915,-0.8499,-0.8206
0.3102,-0.3575,-0.3918,-0.4863,-0.5564,-0.8321,-0.7972
0.2793,-0.3651,-0.4093,-0.5084,-0.595,-0.8114,-0.7761
0.2492,-0.3939,-0.4336,-0.5449,-0.6448,-0.7929,-0.751
0.2293,-0.4029,-0.4429,-0.5614,-0.6625,-0.7716,-0.7289
0.2096,-0.4108,-0.4522,-0.5692,-0.6856,-0.7567,-0.7127
0.1895,-0.4189,-0.4626,-0.5857,-0.7143,-0.7397,-0.6934
0.1697,-0.4326,-0.4749,-0.6004,-0.7202,-0.7114,-0.6619
0.1496,-0.4405,-0.4764,-0.5959,-0.6924,-0.6635,-0.6165
0.1293,-0.4263,-0.4759,-0.5873,-0.6623,-0.6188,-0.5716
0.1098,-0.4361,-0.4752,-0.5644,-0.6211,-0.5601,-0.5073
0.0995,-0.4284,-0.4684,-0.5556,-0.5769,-0.5221,-0.4742
0.0893,-0.4101,-0.452,-0.5204,-0.5462,-0.4876,-0.4383
0.0803,-0.4129,-0.4546,-0.5058,-0.524,-0.4662,-0.4187
0.0505,-0.3431,-0.3777,-0.378,-0.3676,-0.3094,-0.2558
0.0298,-0.2848,-0.281,-0.2391,-0.2062,-0.1492,-0.1026
0.0191,-0.1336,-0.1355,-0.0464,-0.0195,0.0466,0.089
0,0.998,1.0621,1.1252,1.1452,1.1677,1.1785
0.0197,-0.1115,-0.0965,-0.0193,0.0414,0.1009,0.1341
0.0296,-0.2491,-0.2619,-0.2345,-0.1827,-0.1212,-0.0717
0.059,-0.3847,-0.4024,-0.4544,-0.4264,-0.3696,-0.3244
0.0697,-0.4068,-0.431,-0.4958,-0.4752,-0.4149,-0.3688
0.0989,-0.4336,-0.4641,-0.5662,-0.5886,-0.5484,-0.5063
0.1195,-0.4188,-0.4667,-0.5864,-0.6318,-0.5926,-0.5449
0.1801,-0.4162,-0.4468,-0.584,-0.6743,-0.6845,-0.6492
0.1997,-0.4087,-0.4476,-0.5865,-0.6977,-0.7245,-0.6886
0.22,-0.3987,-0.434,-0.5691,-0.6719,-0.7604,-0.7182
0.24,-0.3818,-0.412,-0.5419,-0.6272,-0.774,-0.7337
0.2902,-0.363,-0.3843,-0.4958,-0.5554,-0.8005,-0.7744
0.32,-0.3495,-0.376,--,--,-0.806,-0.7842
0.3495,-0.3392,-0.3688,-0.4391,-0.4863,-0.8279,-0.823
0.4103,-0.3106,-0.2979,-0.3815,-0.4136,-0.7818,-0.8424
0.4396,-0.2261,-0.2524,-0.3241,-0.3447,-0.3267,-0.825
0.4698,-0.2331,-0.2495,-0.3155,-0.3345,-0.1841,-0.7842
0.5001,-0.2116,-0.2289,-0.2868,-0.3059,-0.2164,-0.7757
0.5302,-0.1948,-0.2081,-0.2602,-0.2764,-0.2164,-0.5482
0.5899,-0.1776,-0.1779,-0.2157,-0.2234,-0.1939,-0.0695
0.6201,-0.1514,-0.1554,-0.1824,-0.1901,-0.1636,-0.064
0.6496,-0.1455,-0.1461,-0.1688,-0.1739,-0.1532,-0.0734
0.7099,-0.1027,-0.1005,-0.1171,-0.1178,-0.1033,-0.044
0.7393,-0.0797,-0.0813,-0.0915,-0.0915,-0.073,-0.0289
0.7699,-0.0746,-0.0645,-0.0714,-0.0681,-0.0505,-0.0129
0.799,-0.0394,-0.0452,-0.0354,-0.0342,-0.0157,0.0198
0.8298,-0.0247,-0.0324,-0.0143,-0.0094,0.01,0.0375
0.8598,0.0064,0.0177,0.0249,0.0353,0.0526,0.0772
0.8895,0.024,0.0404,0.0555,0.0649,0.0836,0.1072
0.9195,0.0686,0.0727,0.1008,0.1109,0.1276,0.151
0.9497,0.0996,0.1101,0.1449,0.1572,0.1753,0.1954
