,0.6,0.65
0.9489,0.0881,0.0713
0.8993,0.024,0.0097
0.85,-0.0403,-0.0479
0.8003,-0.0985,-0.1059
0.7489,-0.1638,-0.1627
0.6996,-0.2207,-0.2184
0.6495,-0.2818,-0.2695
0.5994,-0.3357,-0.323
0.5492,-0.3975,-0.3731
0.4997,-0.4688,-0.4408
0.4496,-0.5391,-0.4995
0.3994,-0.6167,-0.5638
0.3499,-0.6978,-0.6584
0.2999,-0.7889,-0.8648
0.2501,-0.8759,-1.246
0.1994,-0.9667,-1.9255
0.1503,-1.6198,-1.9701
0.1012,-2.2478,-2.0428
0.0763,-2.368,-2.0272
0.0515,-2.3635,-1.9658
0.0271,-2.2455,-1.8161
0.0135,-2.0332,-1.6037
0,0.1664,0.4013
0,0.1664,0.4013
0.0122,1.0025,0.9851
0.0251,0.7843,0.7483
0.051,0.5082,0.4726
0.0755,0.3626,0.3277
0.1,0.2567,0.2247
0.1504,0.126,0.0938
0.2004,0.0494,0.0181
0.2501,0.0066,-0.0208
0.3002,-0.0145,-0.0429
0.3507,-0.0325,-0.0618
0.4,-0.0376,-0.0656
0.4503,-0.0358,-0.0614
0.5,-0.0413,-0.0713
0.5506,-0.0408,-0.0641
0.5997,-0.0297,-0.0567
0.6502,-0.0345,-0.0563
0.7003,-0.0196,-0.0436
0.7497,-0.0084,-0.0281
0.7998,0.0142,-0.0086
0.8503,0.0199,0.002
0.9,0.0271,0.0078
0.9483,0.0804,0.0641
