,0.3,0.5,0.6,0.7,0.756
0.9701,0.1173,0.1377,0.1643,0.1758,0.1882
0.9102,0.0377,0.0444,0.0664,0.0801,0.1034
0.8797,0.0011,0.0028,0.023,0.0385,0.0667
0.8503,-0.0409,-0.0386,-0.0085,0.001,0.0364
0.8198,-0.0732,-0.0625,-0.0476,-0.0415,0.0047
0.79,-0.1029,-0.0918,-0.0868,-0.0715,-0.0238
0.7304,-0.1465,-0.1391,-0.1351,-0.1248,-0.0626
0.6994,-0.1721,-0.1785,-0.1768,-0.1653,-0.0921
0.6696,-0.1971,-0.2057,-0.2063,-0.1959,-0.1107
0.6396,-0.2199,-0.2316,-0.2332,-0.2236,-0.1313
0.6095,-0.2379,-0.2565,-0.2613,-0.2532,-0.152
0.5792,-0.2523,-0.2815,-0.2875,-0.2785,-0.1717
0.5494,-0.2964,-0.3174,-0.328,-0.3112,-0.2268
0.5192,-0.3114,-0.3417,-0.3538,-0.3408,-0.2875
0.4893,-0.351,-0.3892,-0.3952,-0.3848,-0.4189
0.4591,-0.372,-0.4116,-0.4242,-0.4078,-0.6367
0.3994,-0.4174,-0.4664,-0.4881,-0.4394,-1.2817
0.3691,-0.4564,-0.5148,-0.5392,-0.4579,-1.2959
0.3393,-0.4983,-0.5622,-0.5903,-0.4507,-1.3351
0.3102,-0.5362,-0.5986,-0.6299,-0.5166,-1.347
0.2793,-0.5576,-0.6319,-0.6692,-1.3149,-1.3421
0.2492,-0.5927,-0.6688,-0.7135,-1.3904,-1.3375
0.2293,-0.6338,-0.7134,-0.7668,-1.4324,-1.3247
0.2096,-0.6653,-0.7523,-0.8087,-1.4741,-1.3183
0.1895,-0.6653,-0.7679,-0.813,-1.4748,-1.2919
0.1697,-0.7122,-0.8012,-0.8685,-1.4485,-1.2614
0.1496,-0.7679,-0.8409,-0.8991,-1.412,-1.2161
0.1293,-0.8402,-0.9505,-0.9399,-1.3828,-1.1826
0.1098,-0.8851,-1.0079,-1.0987,-1.3536,-1.1476
0.0995,-0.912,-1.0295,-1.1304,-1.3478,-1.1392
0.0893,-0.9194,-1.0349,-1.1199,-1.3371,-1.1217
0.0803,-0.9717,-1.0947,-1.1755,-1.34,-1.121
0.0505,-1.0495,-1.1965,-1.2831,-1.2471,-1.0082
0.0298,-1.1854,-1.2935,-1.3756,-1.1663,-0.9121
0.0191,-1.1898,-1.2863,-1.2518,-0.944,-0.7002
0,0.5702,0.7056,0.811,0.9258,1.006
0.0197,0.575,0.6124,0.6187,0.6183,0.5974
0.0296,0.3896,0.4186,0.419,0.4196,0.4077
0.059,0.1498,0.1616,0.1596,0.1658,0.1539
0.0697,0.0729,0.1093,0.1038,0.107,0.0892
0.0989,0.0054,0.0081,-0.0019,-0.004,-0.0213
0.1195,-0.0268,-0.0357,-0.0481,-0.0568,-0.0727
0.1801,-0.1013,-0.1172,-0.1269,-0.1425,-0.1651
0.1997,-0.1121,-0.1306,-0.1428,-0.1659,-0.1845
0.22,-0.1481,-0.1381,-0.1495,-0.1697,-0.1964
0.24,-0.1481,-0.1369,-0.1484,-0.1712,-0.1918
0.2902,-0.1346,-0.1506,-0.1615,-0.1818,-0.2076
0.32,-0.1392,-0.1597,-0.1663,-0.1331,-0.1515
0.3495,-0.1591,-0.1658,-0.1767,-0.1969,-0.2154
0.4103,-0.1411,-0.1497,-0.1555,-0.1787,-0.1975
0.4396,-0.1129,-0.1277,-0.1294,-0.1482,-0.163
0.4698,-0.1397,-0.1317,-0.1336,-0.1503,-0.1617
0.5001,-0.1386,-0.1199,-0.1121,-0.1422,-0.1517
0.5302,-0.1049,-0.112,-0.0799,-0.1339,-0.1405
0.5899,-0.0887,-0.0935,-0.0718,-0.0759,-0.0823
0.6201,-0.0778,-0.0542,-0.0525,-0.0609,-0.062
0.6496,-0.0701,-0.0569,-0.0535,-0.0654,-0.0664
0.7099,-0.0254,-0.0408,-0.0248,-0.0321,-0.0317
0.7393,-0.0146,-0.02,-0.012,-0.0171,-0.0172
0.7699,-0.0173,-0.0288,-0.0031,-0.0081,-0.0063
0.799,0.0136,0.008,0.0187,0.0158,0.0202
0.8298,0.0068,0.0128,0.0261,0.0242,0.0315
0.8598,0.0445,0.0405,0.0595,0.0574,0.0665
0.8895,0.0445,0.0458,0.0749,0.0782,0.0882
0.9195,0.0781,0.0862,0.1049,0.1128,0.1232
0.9497,0.0982,0.1138,0.1373,0.1412,0.1602
