,0.41
1,-0.56
0.947,-0.63
0.902,-0.66
0.852,-0.69
0.802,-0.72
0.752,-0.74
0.701,-0.74
0.651,-0.75
0.6,-0.76
0.551,-0.76
0.5,-0.77
0.45,-0.77
0.4,-0.77
0.352,-0.79
0.298,-0.8
0.25,-0.8
0.2,-0.82
0.15,-0.97
0.1,-1.23
0.075,-1.22
0.05,-1.23
0.025,-1.23
0.013,-1.24
0.006,-1.29
0,-1.18
0.013,1.02
0.026,0.93
0.05,0.78
0.075,0.71
0.101,0.64
0.151,0.55
0.2,0.48
0.252,0.41
0.302,0.37
0.352,0.32
0.4,0.29
0.451,0.26
0.501,0.24
0.551,0.2
0.601,0.19
0.652,0.17
0.702,0.15
0.752,0.14
0.801,0.12
0.851,0.05
0.902,-0.04
0.951,-0.28
