,0.32,0.42,0.53
1,-0.88,-0.86,-0.89
0.947,-0.9,-0.88,-0.92
0.902,-0.91,-0.89,-0.92
0.852,-0.92,-0.9,-0.93
0.802,-0.94,-0.91,-0.95
0.752,-0.94,-0.91,-0.95
0.701,-0.95,-0.92,-0.96
0.651,-0.94,-0.91,-0.95
0.6,-0.94,-0.91,-0.95
0.551,-0.94,-0.9,-0.95
0.5,-0.93,-0.9,-0.94
0.45,-0.93,-0.9,-0.94
0.4,-0.92,-0.89,-0.93
0.35,-0.91,-0.89,-0.92
0.298,-0.91,-0.88,-0.92
0.25,-0.9,-0.88,-0.91
0.2,-0.9,-0.87,-0.91
0.15,-0.89,-0.87,-0.9
0.1,-0.89,-0.87,-0.89
0.075,-0.88,-0.87,-0.9
0.05,-0.88,-0.86,-0.89
0.025,-0.88,-0.86,-0.89
0.013,-0.88,-0.86,-0.89
0.006,-0.89,-0.87,-0.89
0,-0.9,-0.88,-0.91
0.013,0.99,1.02,1.04
0.026,1.02,1.05,1.06
0.05,0.96,1,1.03
0.075,0.95,0.96,0.98
0.101,0.9,0.91,0.93
0.151,0.82,0.82,0.84
0.2,0.73,0.75,0.77
0.252,0.67,0.68,0.7
0.302,0.6,0.62,0.64
0.352,0.54,0.55,0.57
0.4,0.49,0.51,0.53
0.451,0.44,0.47,0.48
0.501,0.39,0.42,0.43
0.551,0.34,0.35,0.39
0.601,0.29,0.31,0.35
0.652,0.25,0.27,0.31
0.702,0.21,0.23,0.27
0.752,0.17,0.19,0.23
0.801,0.13,0.14,0.19
0.851,0.03,0.05,0.09
0.902,-0.09,-0.09,-0.05
0.951,-0.36,-0.39,-0.37
