,0.54
1,-0.68
0.947,-0.71
0.902,-0.73
0.852,-0.74
0.802,-0.75
0.752,-0.75
0.701,-0.74
0.651,-0.74
0.6,-0.74
0.551,-0.73
0.5,-0.73
0.45,-0.73
0.4,-0.71
0.352,-0.71
0.298,-0.7
0.25,-0.7
0.2,-0.69
0.15,-0.69
0.1,-0.68
0.075,-0.68
0.05,-0.68
0.025,-0.69
0.013,-0.69
0.006,-0.69
0,-0.76
0.013,1.05
0.026,0.99
0.05,0.87
0.075,0.8
0.101,0.74
0.151,0.64
0.2,0.57
0.252,0.5
0.302,0.45
0.352,0.39
0.4,0.35
0.451,0.31
0.501,0.27
0.551,0.25
0.601,0.22
0.652,0.19
0.702,0.16
0.752,0.14
0.801,0.11
0.851,0.03
0.902,-0.08
0.951,-0.37
